LHR-JFK,11408964,19,600471.8,11,LHR,JFK,GB,US,1,international
LHR-EWR,10562231,19,555906.9,15,LHR,EWR,GB,US,2,international
LGW-JFK,8716499,19,458763.1,21,LGW,JFK,GB,US,3,international
LHR-LGA,7039408,19,370495.16,33,LHR,LGA,GB,US,4,international
LAX-JFK,6329380,19,333125.25,46,LAX,JFK,US,US,5,domestic
LAX-EWR,6201911,19,326416.38,47,LAX,EWR,US,US,6,domestic
JFK-LAX,5794132,19,304954.3,55,JFK,LAX,US,US,7,domestic
EWR-LAX,5760083,19,303162.25,56,EWR,LAX,US,US,8,domestic
JFK-LHR,5709326,19,300490.84,59,JFK,LHR,US,GB,9,international
SFO-LAX,5506770,19,289830.0,66,SFO,LAX,US,US,10,domestic
LAX-SFO,5426143,19,285586.47,67,LAX,SFO,US,US,11,domestic
CDG-JFK,5252456,19,276445.06,77,CDG,JFK,FR,US,12,international
EWR-LHR,5232489,19,275394.16,79,EWR,LHR,US,GB,13,international
JFK-LGW,5121505,19,269552.9,84,JFK,LGW,US,GB,14,international
CDG-EWR,5007030,19,263527.9,86,CDG,EWR,FR,US,15,international
EWR-MIA,4855085,19,255530.8,97,EWR,MIA,US,US,16,domestic
MXP-JFK,4796704,19,252458.11,100,MXP,JFK,IT,US,17,international
ORY-JFK,4661689,19,245352.05,103,ORY,JFK,FR,US,18,international
LAX-SJC,4603172,19,242272.2,108,LAX,SJC,US,US,19,domestic
JFK-MIA,4471874,19,235361.8,121,JFK,MIA,US,US,20,domestic
CDG-LGA,4388841,19,230991.62,127,CDG,LGA,FR,US,21,international
MXP-EWR,4376147,19,230323.53,128,MXP,EWR,IT,US,22,international
LGA-MIA,4360525,19,229501.31,129,LGA,MIA,US,US,23,domestic
LGW-EWR,4347457,19,228813.53,132,LGW,EWR,GB,US,24,international
MIA-EWR,4249987,19,223683.53,143,MIA,EWR,US,US,25,domestic
SNA-SFO,4225600,19,222400.0,144,SNA,SFO,US,US,26,domestic
SNA-EWR,4219644,19,222086.53,146,SNA,EWR,US,US,27,domestic
EWR-FLL,4168883,19,219414.89,149,EWR,FLL,US,US,28,domestic
EWR-SNA,4143238,19,218065.16,151,EWR,SNA,US,US,29,domestic
BUR-SFO,4124762,19,217092.73,152,BUR,SFO,US,US,30,domestic
SFO-JFK,4113345,19,216491.84,153,SFO,JFK,US,US,31,domestic
SFO-EWR,4068050,19,214107.89,155,SFO,EWR,US,US,32,domestic
ONT-SFO,4051773,19,213251.2,159,ONT,SFO,US,US,33,domestic
LAX-LGA,3985776,19,209777.69,167,LAX,LGA,US,US,34,domestic
LIN-JFK,3959809,19,208411.0,169,LIN,JFK,IT,US,35,international
