market,origin,dest,OriginAirport,DestinationAirport,market_key
DXB-SVO,DXB,SVO,68682240,320212736,68682240-320212736
NRT-CDG,NRT,CDG,236065792,50595584,236065792-50595584
LAX-ORD,LAX,ORD,201398272,252838912,201398272-252838912
YVR-LAX,YVR,LAX,420876800,201398272,420876800-201398272
JED-IST,JED,IST,168100864,152245248,168100864-152245248
JFK-FCO,JFK,FCO,168168192,100863744,168168192-100863744
XNB-MNL,XNB,MNL,403571200,219024384,403571200-219024384
LHR-ORY,LHR,ORY,201855488,252844288,201855488-252844288
LIS-GRU,LIS,GRU,201921280,118625536,201921280-118625536
LGW-FCO,LGW,FCO,201791232,100863744,201791232-100863744
LGW-JED,LGW,JED,201791232,168100864,201791232-168100864
TPE-PVG,TPE,PVG,336594176,269879040,336594176-269879040
MCO-LGA,MCO,LGA,218304256,201785600,218304256-201785600
YVR-HKG,YVR,HKG,420876800,134940416,420876800-134940416
LCY-LIS,LCY,LIS,201529600,201921280,201529600-201921280
SJC-SAN,SJC,SAN,319423232,318836224,319423232-318836224
ITM-HAN,ITM,HAN,152308992,134286848,152308992-134286848
TLV-MAD,TLV,MAD,336336384,218170368,336336384-218170368
LHR-ARN,LHR,ARN,201855488,17960448,201855488-17960448
ZRH-BKK,ZRH,BKK,437389312,34278144,437389312-34278144
SYD-DEL,SYD,DEL,320406528,67439616,320406528-67439616
MAD-AMS,MAD,AMS,218170368,17634048,218170368-17634048
MCO-JFK,MCO,JFK,218304256,168168192,218304256-168168192
LGA-LGW,LGA,LGW,201785600,201791232,201785600-201791232
LHR-MRU,LHR,MRU,201855488,219288832,201855488-219288832
MNL-HND,MNL,HND,219024384,135136256,219024384-135136256
MAN-DXB,MAN,DXB,218172928,68682240,218172928-68682240
JFK-ONT,JFK,ONT,168168192,252580864,168168192-252580864
KUL-LHR,KUL,LHR,185928704,201855488,185928704-201855488
SFO-LAS,SFO,LAS,319164160,201396992,319164160-201396992
LHR-COK,LHR,COK,201855488,51317504,201855488-51317504
SIN-LGW,SIN,LGW,319360512,201791232,319360512-201791232
JFK-MCO,JFK,MCO,168168192,218304256,168168192-218304256
